,=VeryGood=,Stamp and Scrape,Unnamed: 2,Unnamed: 3,Unnamed: 4
5042,=Excellent=,It works! and for under $10.......,,,
5043,=Excellent=,I love this lotion....and was quite surprised.,,,
5044,=Unsatisfactory=,not impressed,,,
5045,=VeryGood=,Great orange to keep in your collection,,,
5046,=Poor=,NO...,,,
5047,=Poor=,Don't like it,,,
5048,=VeryGood=,Leaves  my hair shinny,,,
5049,=Poor=,"If I Could Give This Moisturizer NEGATIVE stars, I Would!",,,
5050,=Poor=,"Too many parabens... Parabens can mimic the hormone estrogen, which is known to play a role in the development of breast cancers",,,
5051,=Good=,Just OK but it works in a pinch,,,
5052,=Poor=,Makes Hair Fall Out...  Buyer Beware!!!,,,
5053,=Excellent=,My favorite scent on my husband,,,
5054,=Excellent=,SWEET,,,
5055,=VeryGood=,Good Cream.,,,
5056,=Excellent=,This is my second bottle of NOW lemon oil and sure it wont be my last.,,,
5057,=Good=,Strong fragrance,,,
5058,=VeryGood=,almost in love..,,,
5059,=VeryGood=,Great color green,,,
5060,=VeryGood=,"***So Far, So GOOD***Powerful Weapon in the Fight Against ACNE!",,,
5061,=VeryGood=,"I mean, it's not super-durable or anything",,,
5062,=Good=,Not as great as expected,,,
5063,=Unsatisfactory=,"Used for a week, hello acne!",,,
5064,=VeryGood=,Very moisturizing,,,
5065,=Good=,Not working for me,,,
5066,=Poor=,Horrible.,,,
5067,=Poor=,2 thumbs down!,,,
5068,=Excellent=,Surprisingly Pleased,,,
5069,=Good=,It works but loud,,,
5070,=VeryGood=,75/25,,,
5071,=Poor=,premier dead sea eye serum,,,
5072,=Poor=,did not work for me,,,
5073,=Good=,"Organic Acne Treatment?  Yes, but not quite as effective as conventional systems",,,
5074,=Good=,"Not as expected, but....",,,
5075,=VeryGood=,"Very nice,very moisturizing",,,
5076,=Excellent=,Perfect size and thickness for Paraffin dip,,,
5077,=Excellent=,RECOMMEND,,,
5078,=Good=,Same product in new package,,,
5079,=Excellent=,Works well but don't expect miracles,,,
5080,=VeryGood=,opi strawberry margarita,,,
5081,=Good=,Nice moistureiser,,,
5082,=VeryGood=,I love your roses,,,
5083,=Excellent=,Olay Regenerist Serum,,,
5084,=Good=,Pros and cons,,,
5085,=Good=,Nice product,,,
5086,=Unsatisfactory=,"Too much effort, not much result",,,
5087,=Unsatisfactory=,Light brown? Not quite,,,
5088,=VeryGood=,Good.,,,
5089,=VeryGood=,It's good,,,
5090,=Poor=,Made my sensitive skin itch,,,
5091,=Unsatisfactory=,Amlactin,,,
5092,=Poor=,WOAH! Condition OVERLOAD,,,
5093,=Poor=,The first two ingredients are water and glycerin,,,
5094,=Unsatisfactory=,Not for coarse hair.,,,
5095,=Poor=,did nothing for me,,,
5096,=Unsatisfactory=,Earth Therapeutics Skin Therapy Complexion Brush,,,
5097,=VeryGood=,Love it,,,
5098,=VeryGood=,Gotta love Aveeno,,,
5099,=Poor=,Sticky lotion flakes off face,,,
5100,=Excellent=,Good for anything,,,
5101,=Poor=,Junk,,,
5102,=Unsatisfactory=,Disappointed,,,
5103,=VeryGood=,Has left hair manageable... pleasant but not overpowering fragrance...,,,
5104,=Excellent=,Very happy!,,,
5105,=VeryGood=,Stretch marks and facial blemishes,,,
5106,=Good=,WHY $ 7.00?,,,
5107,=Poor=,No results,,,
5108,=Unsatisfactory=,Very disappointed,,,
5109,=Good=,Five Stars for Those in Need of Skin Repair. Two Stars for Those Already Invested in Their Skin.,,,
5110,=VeryGood=,Very good product,,,
5111,=Poor=,blah,,,
5112,=Poor=,Not what I am looking for,,,
5113,=Unsatisfactory=,Not for me,,,
5114,=Good=,too big,,,
5115,=Unsatisfactory=,Maybe its my hair type,,,
5116,=Poor=,Made my skin dry,,,
5117,=VeryGood=,it works,,,
5118,=Unsatisfactory=,Not as depicted,,,
5119,=Excellent=,Great BHA exfoliater,,,
5120,=VeryGood=,"Not my favourite, but still Burt's Bees Quality",,,
5121,=VeryGood=,"Very durable, and holds a ton!",,,
5122,=Good=,Works if you have a certain type of skin / pore,,,
5123,=Good=,Smears,,,
5124,=Excellent=,Love that clean tingle on my face!,,,
5125,=Unsatisfactory=,Very plastic-y,,,
5126,=Unsatisfactory=,Did nothing,,,
5127,=Excellent=,Does what it claims! I noticed difference the next day!,,,
5128,=VeryGood=,"Love Essie, Confused About the Color",,,
5129,=VeryGood=,quick touchup stick,,,
5130,=VeryGood=,Pretty Good`,,,
5131,=VeryGood=,Smooth coat,,,
5132,=Excellent=,Great stuff!,,,
5133,=Unsatisfactory=,It's mostly alcohol........,,,
5134,=Unsatisfactory=,Too small,,,
5135,=Unsatisfactory=,Oribe Dry Texturizing Spray,,,
5136,=Good=,"Didn't help with wrinkles, but helped with dark spots",,,
5137,=Unsatisfactory=,Itchy scalp,,,
5138,=VeryGood=,Smooth hair,,,
5139,=VeryGood=,Good results so far.,,,
5140,=Poor=,Wayy too clumpy,,,
5141,=Poor=,NOT FOR LIGHT AND DRY SKIN,,,
5142,=VeryGood=,Quality might be changing,,,
5143,=Poor=,Old product,,,
5144,=Unsatisfactory=,"Good spray, bad watertightness",,,
5145,=Poor=,Crap.,,,
5146,=VeryGood=,It works!,,,
5147,=Good=,Does not work for growth,,,
5148,=Poor=,Pasty looking,,,
5149,=VeryGood=,Works great,,,
5150,=VeryGood=,Leaves Your Face Very Soft,,,
5151,=Unsatisfactory=,Does nothing for me,,,
5152,=VeryGood=,It does its job,,,
5153,=VeryGood=,not bad,,,
5154,=Unsatisfactory=,Not as great as I expected after reading other reviews....,,,
5155,=VeryGood=,Skin feels fresh!,,,
5156,=Unsatisfactory=,Dried out,,,
5157,=Unsatisfactory=,OILY,,,
5158,=Good=,Love this Outlast Lipcolor,,,
5159,=Excellent=,My favorite cleanser!,,,
5160,=VeryGood=,cheap but efficient,,,
5161,=Excellent=,Maybelline >Dior,,,
5162,=Excellent=,Brush cleaner...,,,
5163,=Good=,little too orange,,,
5164,=Unsatisfactory=,way too harsh,,,
5165,=Excellent=,Clear complexion...,,,
5166,=VeryGood=,almost perfect,,,
5167,=Poor=,Horrible,,,
5168,=Poor=,Smells Horrible,,,
5169,=Poor=,Vivo Moisturng Day Cream,,,
5170,=Excellent=,This stuff is great!,,,
5171,=Poor=,never AGAIN badd product yucky,,,
5172,=Good=,Isn't moisturizing enough,,,
5173,=Good=,Too strong for my taste,,,
5174,=Poor=,Very UNhappy WITH RESULTS,,,
5175,=Unsatisfactory=,Meh,,,
5176,=Unsatisfactory=,anti-static?,,,
5177,=Good=,I am torn about this one,,,
5178,=Unsatisfactory=,Eh,,,
5179,=VeryGood=,"Use sparingly, and not often!",,,
5180,=Good=,Don't be fooled by silicones; Excellent Primer replacement,,,
5181,=VeryGood=,"If you really really love tea tree, this is the stuff!",,,
5182,=Good=,Didn't really help with wrinkles....,,,
5183,=Poor=,DON'T LIKE IT,,,
5184,=Excellent=,Perfect for my hair!,,,
5185,=Good=,Don't really understand the purpose?,,,
5186,=VeryGood=,Foams up nice....does the job....,,,
5187,=Poor=,no thanks!,,,
5188,=VeryGood=,hmm...,,,
5189,=Poor=,i hate this pomegranite wen!!!,,,
5190,=VeryGood=,Dermablend Cover Creme,,,
5191,=Poor=,Don't understand the hype about this primer,,,
5192,=Good=,Described accurately but not long lasting curls.,,,
5193,=VeryGood=,Nice product but could be better,,,
5194,=Unsatisfactory=,Caution....,,,
5195,=Excellent=,I LOVE THIS,,,
5196,=Excellent=,Impressive results lightening darkened skin spots after just a few weeks of use!,,,
5197,=Good=,HEAVY!,,,
5198,=Poor=,Great if you plan on not moving a muscle or adding more makeup,,,
5199,=Poor=,Rub Away Bar Is a Dud,,,
5200,=Poor=,Smells HORRIBLE!!!,,,
5201,=Excellent=,"Soft, touchable feet",,,
5202,=Good=,"OK, but you get less product",,,
5203,=Unsatisfactory=,I don't understand the hoopla around this product,,,
5204,=Poor=,Can harm skin after using for a time,,,
5205,=Poor=,Doesn't last & allergic reaction,,,
5206,=Good=,Could be better,,,
5207,=Good=,Hmmm,,,
5208,=Excellent=,A BEAUTY EDITOR'S PICK,,,
5209,=Excellent=,Finally No Hot Metal!,,,
5210,=Unsatisfactory=,Smaller than expected,,,
5211,=VeryGood=,Feels Great!!,,,
5212,=Poor=,didn't work on me,,,
5213,=Excellent=,Fave,,,
5214,=Excellent=,I bought this at Rite-Aid,,,
5215,=Unsatisfactory=,machine lost suction... and no way those are diamond tips,,,
5216,=Unsatisfactory=,Didn't do much for me and I broke out like crazy.,,,
5217,=Excellent=,Fusion Beauty Lip Fusion,,,
5218,=VeryGood=,1/2 inch curling brush,,,
5219,=VeryGood=,nice,,,
5220,=Unsatisfactory=,"Generally effective, but has several drawbacks",,,
5221,=Unsatisfactory=,Not as expected,,,
5222,=VeryGood=,Great daily/night cream,,,
5223,=Unsatisfactory=,Not great,,,
5224,=Poor=,nO GOOD,,,
5225,=Unsatisfactory=,Just a pitty...I did not receive it,,,
5226,=Excellent=,Love it,,,
5227,=VeryGood=,Works well,,,
5228,=Unsatisfactory=,wrinkle exentuator,,,
5229,=Excellent=,Great!!!!,,,
5230,=Unsatisfactory=,very nice,,,
5231,=Unsatisfactory=,Not impressed,,,
5232,=Good=,Maybe It's Lost It's Effectiveness,,,
5233,=Unsatisfactory=,Not worth it to me,,,
5234,=VeryGood=,Carnival,,,
5235,=Poor=,Way too dark,,,
5236,=Excellent=,Loooove,,,
5237,=Poor=,No results for me,,,
5238,=Unsatisfactory=,Disappointed,,,
5239,=Excellent=,Great oil,,,
5240,=Excellent=,"Neutrogena Clean Replenishing Deep Recovery Hair Mask, 6 oz",,,
5241,=Excellent=,"Neutrogena Clean Replenishing Deep Recovery Hair Mask, 6 oz",,,
5242,=Good=,Effective but use sparingly,,,
5243,=Excellent=,writing titles is the hardest part of a review,,,
5244,=Good=,the stamper is okay,,,
5245,=Poor=,HORRIBLE,,,
5246,=Poor=,Would not recommend this,,,
5247,=Excellent=,Can't Live Without It!,,,
5248,=VeryGood=,Pros: lasts for ever. Cons: strong scent.,,,
5249,=VeryGood=,Light and Effective!,,,
5250,=Good=,On the fence,,,
5251,=Excellent=,Refreshing soap for summer,,,
5252,=Excellent=,Great Inexpensive Cleanser,,,
5253,=Unsatisfactory=,Acidic Smell,,,
5254,=VeryGood=,My second favorite tanner,,,
5255,=Excellent=,Love this color!,,,
5256,=Poor=,Pungent Smell like Sour Breath,,,
5257,=Poor=,It makes your hair a dark orange.,,,
5258,=Excellent=,Amaaaazing :),,,
5259,=Good=,Don't see the appeal.,,,
5260,=Poor=,hmmm,,,
5261,=VeryGood=,Works pretty good,,,
5262,=VeryGood=,Quality oils,,,
5263,=Poor=,allergic,,,
5264,=Excellent=,THE BEST!,,,
5265,=Unsatisfactory=,So so,,,
5266,=Good=,"Excellent product, but pooped out on me suddenly",,,
5267,=Excellent=,great item!,,,
5268,=Excellent=,BEST TONER EVER,,,
5269,=Unsatisfactory=,Fragrance is too strong for me,,,
5270,=VeryGood=,Lash Growth,,,
5271,=Excellent=,Neutrogena T-Gel Shampoo,,,
5272,=VeryGood=,"Good, but not as good as I expected.",,,
5273,=Good=,You get what you pay for.  Not for lefties.,,,
5274,=Poor=,Smells just like Anais Anais ...,,,
5275,=VeryGood=,Good conditioner for thick hair,,,
5276,=VeryGood=,not sure about the pheromone part...,,,
5277,=Good=,Great smell but leaves hair weighty,,,
5278,=Poor=,Not for wrinkles,,,
5279,=Unsatisfactory=,Don't waste your money,,,
5280,=VeryGood=,Surprisingly marvelous,,,
5281,=Poor=,I had to return it,,,
5282,=Good=,Your slightly better than average body wash,,,
5283,=Excellent=,Suggested by my dermatologist,,,
5284,=VeryGood=,"Okay, but not perfect.",,,
5285,=VeryGood=,It could use some improvements,,,
5286,=VeryGood=,Money Saver,,,
5287,=Excellent=,"Dry skiners, read on! =)",,,
5288,=Excellent=,Nice!,,,
5289,=VeryGood=,They look Real!,,,
5290,=Poor=,Not impressed,,,
5291,=Excellent=,I'm amazed and I consider myself seasoned with peels.,,,
5292,=Unsatisfactory=,Ended giving it away...,,,
5293,=Poor=,Can't figure this one out,,,
5294,=Excellent=,LIFE SAVER,,,
5295,=Poor=,mess up my face.... :-(,,,
5296,=Unsatisfactory=,bad brush,,,
5297,=Unsatisfactory=,Maybe it's me,,,
5298,=Poor=,Small - Received all 4-pcs. UGLY EMERALD GREEN!,,,
5299,=Unsatisfactory=,It's ok,,,
5300,=VeryGood=,Very Interesting Product....,,,
5301,=Excellent=,Love It!,,,
5302,=Poor=,Wasn't Nourishing at all  !!!!!,,,
5303,=Excellent=,I like it!,,,
5304,=Good=,It washes off :/,,,
5305,=Poor=,Worst nail file ever!,,,
5306,=VeryGood=,Just started using it,,,
5307,=Good=,Not As Good As Other Hot Oil.,,,
5308,=Good=,This stuff works great but does not last long,,,
5309,=Excellent=,Best mascara,,,
5310,=Excellent=,Great product,,,
5311,=Good=,A little disappointed ....,,,
5312,=Excellent=,My Favorite Cleanser,,,
5313,=Poor=,Changing Review - Bad Basecoat,,,
5314,=Good=,OK kit; not really like Proactiv,,,
5315,=Unsatisfactory=,Glucosamine fights sun damage - Ineffective against hereditary dark circles,,,
5316,=Excellent=,New favorite,,,
5317,=VeryGood=,It's ok....,,,
5318,=Good=,Ehhhhh,,,
5319,=Unsatisfactory=,Talk about GREASY hair,,,
5320,=VeryGood=,Birthday gift for Zum lover,,,
5321,=VeryGood=,Four Stars,,,
5322,=Poor=,Don't buy,,,
5323,=Unsatisfactory=,Decent..,,,
5324,=Excellent=,Cure for brittle nails,,,
5325,=Good=,I wanted to love this!,,,
5326,=Good=,It's ok...,,,
5327,=Good=,Did not do what I expected,,,
5328,=Poor=,wrong product,,,
5329,=VeryGood=,She likes it and so far so good,,,
5330,=Poor=,Hate this primer,,,
5331,=Excellent=,Saved my nails,,,
5332,=Excellent=,Staple lotion,,,
5333,=Poor=,very dissatisfied with loreal paris infallible never fail lipcolour,,,
5334,=Unsatisfactory=,Clogged my pores,,,
5335,=Unsatisfactory=,Darn....Not so great.,,,
5336,=Unsatisfactory=,Didnt work,,,
5337,=VeryGood=,Nice microderm system (Philosophy dupe!),,,
5338,=Poor=,Hurts to peel off!!,,,
5339,=Excellent=,French Affair,,,
5340,=Excellent=,Works as described,,,
5341,=VeryGood=,Good,,,
5342,=Good=,Okay,,,
5343,=Excellent=,Smells great,,,
5344,=Unsatisfactory=,These fell apart too quickly.,,,
5345,=Good=,Good for Protecting Hair in Winter,,,
5346,=Excellent=,t's very good. really love it,,,
5347,=Poor=,Saw no results whatsoever,,,
5348,=Excellent=,Vanilla Heaven,,,
5349,=Poor=,Not what I expected!,,,
5350,=Good=,Can't tell,,,
5351,=Good=,"Very hard to spread, didnt help eczema",,,
5352,=VeryGood=,"Dove's Deep Moisture, Nourishing Body Wash.",,,
5353,=Good=,I purchased it March 2011. It just died,,,
5354,=Unsatisfactory=,Not really good,,,
5355,=VeryGood=,Finely found something that works!,,,
5356,=Unsatisfactory=,Makes my skin painfully dry,,,
5357,=Unsatisfactory=,Not impressed,,,
5358,=Poor=,Junk,,,
5359,=Unsatisfactory=,Much darker than it appears on the box,,,
5360,=Poor=,Must have gotten a bum pack!,,,
5361,=Poor=,Just like drugstore bobby pins,,,
5362,=VeryGood=,"Good for all skin types, even sensitive skin",,,
5363,=Unsatisfactory=,does NOT work :'(,,,
5364,=Good=,Nice concept...,,,
5365,=Poor=,Too big,,,
5366,=Good=,I wanted to love it,,,
5367,=VeryGood=,Still working well,,,
5368,=Unsatisfactory=,Not good.,,,
5369,=Excellent=,Platinum Silver,,,
5370,=VeryGood=,Another Curve scent!!,,,
5371,=Poor=,tooo bright and glittery,,,
5372,=Good=,"Does what it says, but smells horrible",,,
5373,=VeryGood=,Well worth the price,,,
5374,=Excellent=,"If you love OPI brand and love pink colors, this is for you.",,,
5375,=Poor=,Go for the scrub instead,,,
5376,=Good=,Is not bad,,,
5377,=Poor=,Kinda disappointed,,,
5378,=Unsatisfactory=,Not for me,,,
5379,=Good=,"Hempz has good body butter, but not as good as The Body SHop",,,
5380,=Unsatisfactory=,Does anyone make a similar product without a scent?,,,
5381,=Excellent=,gorgeous !,,,
5382,=Unsatisfactory=,Does Not Reduce Puffy Eyes,,,
5383,=VeryGood=,"Nice base coat, but not strengthening.",,,
5384,=VeryGood=,"Good, I suppose",,,
5385,=Poor=,Not worth it,,,
5386,=Good=,Make it unscented,,,
5387,=VeryGood=,Very Good Vitamin - Works Well If Directions Followed,,,
5388,=Excellent=,Great cleanser for a reasonable price,,,
5389,=VeryGood=,It seems to work pretty well!,,,
5390,=Poor=,plz dont waste ur money,,,
5391,=Good=,"I would love this, but..",,,
5392,=Good=,Don't get all the fuss,,,
5393,=Good=,"A face treatment that does what it says, but...",,,
5394,=VeryGood=,Another Nice Color,,,
5395,=Unsatisfactory=,"It's okay, but not better than any $35-$40 cologne",,,
5396,=Excellent=,Beautiful Color,,,
5397,=VeryGood=,"Funny color at first, then mellows",,,
5398,=Unsatisfactory=,NARS Orgasm Shimmer Nail Polish,,,
5399,=Good=,Just ok...,,,
5400,=Good=,so so,,,
5401,=Poor=,do not waste your money,,,
5402,=Unsatisfactory=,Not as great,,,
5403,=Good=,Not remarkable,,,
5404,=Excellent=,"My first one worked wonderfully and lasted 2 1/2 years, so I'm getting another!",,,
5405,=Unsatisfactory=,No,,,
5406,=Unsatisfactory=,Color is more pink than nude.  Greasy = cheek zits!,,,
5407,=Poor=,hate it!,,,
5408,=Excellent=,Love it.,,,
5409,=Poor=,Worst Curling Iron I've Ever Used,,,
5410,=Excellent=,Nice scent,,,
5411,=Excellent=,Five Stars,,,
5412,=VeryGood=,Soft Hair :o),,,
5413,=Unsatisfactory=,Sticky and bad odor-,,,
5414,=Good=,Good product but not blown away,,,
5415,=Poor=,don't fall for it,,,
5416,=Poor=,HATE IT,,,
5417,=Poor=,Smells awful,,,
5418,=Poor=,No progress,,,
5419,=Unsatisfactory=,"Poor quality, started to tear on first use.",,,
5420,=Poor=,Fogless mirror guaranteed,,,
5421,=VeryGood=,Acne gel,,,
5422,=Poor=,Hmmm,,,
5423,=Poor=,disappointed,,,
5424,=Excellent=,Best cleanser i used so far,,,
5425,=Unsatisfactory=,like water,,,
5426,=VeryGood=,Decent microdermabrasion,,,
5427,=Good=,Nice,,,
5428,=VeryGood=,Pretty Good,,,
5429,=Unsatisfactory=,"Color matches, but crumbles off quickly and fades",,,
5430,=Excellent=,Love the color...,,,
5431,=Poor=,Not Matte,,,
5432,=Excellent=,Love this soap!,,,
5433,=Poor=,DO NOT ORDER! They Got Me Too!!!!!!!!!  ARGGH!,,,
5434,=Excellent=,Love this scent,,,
5435,=Unsatisfactory=,formula is to runny and didn't notice a difference,,,
5436,=Good=,Huge,,,
5437,=Excellent=,Excellent eye make up remover!,,,
5438,=Good=,It's okay.,,,
5439,=Good=,sticky,,,
5440,=VeryGood=,moisturizing,,,
5441,=VeryGood=,Does what it says it'll do,,,
5442,=Excellent=,Best stuff!,,,
5443,=Unsatisfactory=,Once again I'm fooled by advertisements..,,,
5444,=Good=,Kind of disappointed!,,,
5445,=Unsatisfactory=,Black?,,,
5446,=Unsatisfactory=,"I'll use the rest, but won't buy again",,,
5447,=Excellent=,the only eye make up remover I use,,,
5448,=Excellent=,Rose Toner,,,
5449,=Unsatisfactory=,Voluminous Mascara,,,
5450,=Unsatisfactory=,Strong scent,,,
5451,=Unsatisfactory=,Didn't work for me...,,,
5452,=VeryGood=,Makes my hair soft and light,,,
5453,=Unsatisfactory=,Not quite poreless,,,
5454,=Excellent=,GREAT!!(:,,,
5455,=Poor=,Deceiving,,,
5456,=Unsatisfactory=,Not so sure,,,
5457,=Excellent=,Soothing protection!,,,
5458,=Excellent=,great product,,,
5459,=Excellent=,"Good hold, smooth results, beautiful colors!",,,
5460,=Poor=,so sad,,,
5461,=Good=,NOT for Caucasian / fine hair,,,
5462,=Unsatisfactory=,I wanted to love it but it gave me raccoon eyes,,,
5463,=Good=,MY KINKY CURLY CONDITIONER,,,
5464,=Unsatisfactory=,Nothing Supernatural Here,,,
5465,=Poor=,Mineral Oil,,,
5466,=VeryGood=,"Quick and easy, but a bit drying",,,
5467,=Poor=,Doesn't work,,,
5468,=Good=,Has that greasy feel but it doesn't look greasy,,,
5469,=Good=,Little more than a dollar store bargain,,,
5470,=Excellent=,Great curling iron!,,,
5471,=VeryGood=,Colored hair dye,,,
5472,=Good=,Hmmmmmm...its definitely not for straightening your hair from poofy to silk straight,,,
5473,=Good=,Good Conditioner,,,
5474,=Poor=,rigid and poor quality,,,
5475,=Unsatisfactory=,No difference when used,,,
5476,=Unsatisfactory=,Jury is Still Out,,,
5477,=Excellent=,Mata Hari,,,
5478,=Good=,Soft then sticky,,,
5479,=Poor=,HATE it,,,
5480,=Unsatisfactory=,My Only Bad Eucerin Product Review(causes breakouts),,,
5481,=Poor=,Way too much perfume,,,
5482,=VeryGood=,Overall improvement in skin eveness,,,
5483,=VeryGood=,Better than Proactiv,,,
5484,=Excellent=,I love the heck out of this stuff,,,
5485,=Good=,"I have no complaints, but so far I see no improvement.",,,
5486,=Good=,"Decent for Covering Dark Circles, but Doesn't Work Well under Powdered Makeup.",,,
5487,=VeryGood=,Pretty good hand and nail cream,,,
5488,=Unsatisfactory=,Bronze Glow,,,
5489,=Poor=,A joke!,,,
5490,=VeryGood=,Seems to work.,,,
5491,=Good=,An average drug store cream,,,
5492,=Poor=,DISAPPOINTED!!,,,
5493,=VeryGood=,Nice and natural,,,
5494,=VeryGood=,"Solid cleanser, if a bit overpriced.",,,
5495,=Unsatisfactory=,Not for sensitive skin,,,
5496,=Good=,Average top coat,,,
5497,=VeryGood=,Works Great but Liquidy,,,
5498,=VeryGood=,"Very sheer, elegant medium pink...no pearl in it;",,,
5499,=VeryGood=,Powerful Acrylic Gel,,,
5500,=VeryGood=,Good stuff,,,
5501,=VeryGood=,"works, wish it smelled different",,,
5502,=Good=,Not too impressed...,,,
5503,=Unsatisfactory=,"L'Oreal Paris Frost and Design Highlights, Caramel",,,
5504,=Poor=,"Rather toxic treatment, nothing luxurious",,,
5505,=Excellent=,Great hair stuff!,,,
5506,=Poor=,A TINT IS NOT A STAIN!,,,
5507,=VeryGood=,Super bright,,,
5508,=Excellent=,Great product for sensitive skin,,,
5509,=Good=,"Non-greasy & pleasant, but tiny",,,
5510,=Good=,5-Year Guarantee Information,,,
5511,=Good=,Light weight lift,,,
5512,=Good=,Good for young skin,,,
5513,=VeryGood=,Purchased 3 different Colors....One worked a little too well,,,
5514,=Good=,Three Stars,,,
5515,=Poor=,broke while i put on clothes,,,
5516,=VeryGood=,"sheer, light coverage, but not very moisturizing",,,
5517,=Good=,Goes on Strong - Dissipates,,,
5518,=Poor=,Much cheaper at Target.,,,
5519,=VeryGood=,Smells like bananas,,,
5520,=VeryGood=,Neutrogena T/Gel Shampoo,,,
5521,=VeryGood=,My hair is pleased,,,
5522,=Good=,Its ok.,,,
5523,=VeryGood=,"Interesting fragrance, little strong but nice",,,
5524,=Unsatisfactory=,Not for me,,,
5525,=Poor=,Fake,,,
5526,=Good=,No complaints,,,
5527,=Good=,Caused Breakage on My 4C Natural Hair,,,
5528,=VeryGood=,Black Mascara,,,
5529,=Good=,I don't love it,,,
5530,=VeryGood=,Mostly for my beard.,,,
5531,=Poor=,Cheaply made and flimsy.,,,
5532,=Poor=,Didnt work,,,
5533,=Unsatisfactory=,NOT A FAN,,,
5534,=Unsatisfactory=,One speed.....slow.,,,
5535,=Excellent=,Great shampoo,,,
5536,=Poor=,confused,,,
5537,=Unsatisfactory=,Not For Me,,,
5538,=Excellent=,It works!,,,
5539,=Excellent=,Nice addition to shower :),,,
5540,=VeryGood=,"Great conditioning, not as moisturizing as I was hoping for",,,
5541,=Unsatisfactory=,HUH!?,,,
5542,=VeryGood=,Best Drugstore Remover!,,,
5543,=Excellent=,Works Well But I Prefer Spornette,,,
5544,=VeryGood=,Best Eyebrow powder I have found so far.,,,
5545,=Excellent=,Amazing,,,
5546,=Excellent=,GREAT makeup remover wipes,,,
5547,=VeryGood=,Only complaint: Pricey,,,
5548,=Excellent=,great,,,
5549,=Unsatisfactory=,Pain With No Gain,,,
5550,=Excellent=,Pain relief,,,
5551,=VeryGood=,Has worked really well for me!,,,
5552,=VeryGood=,It's just right,,,
5553,=Excellent=,Finally something that worked,,,
5554,=VeryGood=,Smells horrible but does great things for my hair!,,,
5555,=Unsatisfactory=,"No good; bulky, slippery, and blade tip a little too thick/dull",,,
5556,=Poor=,"Maybelline New York Colorsensational Lipstain, Blushing, 0.1 Fluid Ounce",,,
5557,=Good=,no,,,
5558,=Good=,Atomizer stops working Scent doesn't last,,,
5559,=Excellent=,It works!  But heavy on fragrance.,,,
5560,=VeryGood=,OPI is quality brand,,,
5561,=Poor=,A slippery slope,,,
5562,=Poor=,Worse than better,,,
5563,=Poor=,Wish it would get a little hotter,,,
5564,=Good=,Not So Mild...,,,
5565,=Poor=,Leaks,,,
5566,=VeryGood=,feels really good and i like the smell,,,
5567,=Unsatisfactory=,nothing special,,,
5568,=Poor=,Hair Breakage!,,,
5569,=Good=,Excellent wear.  The color does not come out like it looks in bottle.,,,
5570,=Excellent=,LOVE it,,,
5571,=VeryGood=,Light perfume of white flowers,,,
5572,=VeryGood=,4 coats,,,
5573,=Poor=,Full of Parabens. Want a little breast cancer with this lotion ?,,,
5574,=Excellent=,Udderly Useful.,,,
5575,=VeryGood=,Lasts forever!,,,
5576,=Unsatisfactory=,Didn't like it,,,
5577,=VeryGood=,Great for Blondes,,,
5578,=Unsatisfactory=,Just go for a cucumber or plain white bar instead,,,
5579,=Unsatisfactory=,Color not good,,,
5580,=Unsatisfactory=,Much darker than I expected,,,
5581,=Excellent=,Great essential for hair drying with minimal fuss,,,
5582,=Good=,Grandma aroma,,,
5583,=Good=,Can do without,,,
5584,=Poor=,A lie. These aren't even dual form nails. Nail glue advertised on back was taken out and the tin taped back together. Horrible.,,,
5585,=Good=,Okay sunscreen.. makes my face lighter and white,,,
5586,=Poor=,"NOT the classic Ponds, FULL of abrasive chemicals",,,
5587,=Poor=,One Star,,,
5588,=Poor=,Not pigmented enough,,,
5589,=Good=,"Great, but drying",,,
5590,=Unsatisfactory=,smells like old lady perfume.,,,
5591,=Good=,"Nothing special, but not bad",,,
5592,=Poor=,Why Doesn't This Work?,,,
5593,=Good=,Careful,,,
5594,=VeryGood=,I like it,,,
5595,=Excellent=,So Hot!!!,,,
5596,=Excellent=,Love it,,,
5597,=Good=,Not sure yet,,,
5598,=Excellent=,Tangles are gone,,,
5599,=VeryGood=,"Dark color, doesn't last",,,
5600,=Excellent=,Awesome product!,,,
5601,=Unsatisfactory=,Made my face burn,,,
5602,=Poor=,NOT A HIT,,,
5603,=Good=,"Good short term results, questionable long term results",,,
5604,=Excellent=,Exactly What I've Been Looking For!,,,
5605,=Unsatisfactory=,Makes my hair flat,,,
5606,=Unsatisfactory=,"The lotion's alright, but the smell leaves something to be desired",,,
5607,=VeryGood=,Some great features about this product!,,,
5608,=VeryGood=,Worth a try,,,
5609,=Unsatisfactory=,Nice oil,,,
5610,=Unsatisfactory=,Broken Seal,,,
5611,=Unsatisfactory=,Just Okay,,,
5612,=Good=,Not the color or texture I expected.,,,
5613,=Unsatisfactory=,Ehhhh,,,
5614,=Excellent=,BEST STUFF EVER!,,,
5615,=Unsatisfactory=,Who Stole All of My Scruby Bits?,,,
5616,=VeryGood=,great product,,,
5617,=VeryGood=,Average serum - great for the price,,,
5618,=Unsatisfactory=,Ok it's a hairdryer and ..,,,
5619,=Good=,THE HONEYSUCKLE ONE WORKS MUCH BETTER ON MY HAIR TYPE,,,
5620,=Unsatisfactory=,Didn't impress me,,,
5621,=Excellent=,Such a cutie,,,
